FID,Node,Surface_El,Elevation,Dwn_Length,Dwn_Node,X,Y
104,D123063,4227.8887,999,290.319337,D123060,1521458.62,7437929.232
105,D123052,4227.7427,999,201.679854,D123051,1520798.431,7437927.159
106,D123024,4227.1274,999,83.886046,D123500,1519237.557,7437925.411
107,D123025,4227.1504,999,360.053181,D136078,1519237.234,7437920.983
108,D100093,4234.6089,999,182.606589,D100087,1526546.519,7437915.288
109,D079043,4265.2642,999,310.751602,D079038,1531253.492,7437897.747
110,D099064,4232.3379,999,374.802049,D100007,1524713.628,7439111.318
111,D091222,4243.3037,999,189.353091,D091083,1528653.727,7437889.258
112,D067062,4281.3481,999,25.187951,D067038,1532675.367,7437879.696
113,D067058,4322.9619,999,359.616666,D067055,1534460.575,7437876.199
114,D053225,4452.5044,999,223.31711,SD4588,1536183.581,7437873.223
115,D100032,4230.5083,999,97.728865,D100034,1524708.649,7438064.076
116,D041142,4621.4292,999,66.536454,D041146,1539109.695,7437429.948
117,D136075,4229.9233,999,128.802428,D136067,1518836.87,7437788.217
118,D136080,4229.7471,999,128.789229,D136068,1518837.513,7437783.6
119,D123050,4227.5181,999,194.938272,D123048,1520786.828,7437939.537
120,D123072,4230.1372,999,27.167743,D123070,1521763.544,7437925.99
121,D100007,4231.499,999,198.105638,D100009,1524710.277,7438736.531
122,D029003,4664.3564,999,168.630658,D029002,1540778.833,7437422.874
123,D123029,4227.2139,999,122.026438,D123149,1519516.781,7437923.448
124,D100039,4229.8096,999,98.235119,D100030,1524757.24,7437919.782
125,D123026,4227.1821,999,360.151811,D136079,1519239.37,7437916.187
126,D123036,4227.4302,999,160.341739,D123150,1519776.799,7437913.871
127,D123044,4227.9888,999,264.043383,D123039,1520296.922,7437912.662
129,D091095,4247.2412,999,382.494235,D091091,1529393.29,7437897.304
130,D100264,4234.0356,999,195.94801,D100083,1526282.008,7437124.557
131,D091208,4241.2681,999,287.388941,D091074,1528246.322,7437891.847
132,D091083,4242.4443,999,218.064708,D091208,1528464.386,7437891.471
133,D067060,4280.3271,999,453.301133,D079054,1532538.675,7437882.44
134,D123094,4226.6084,999,293.66914,D123180,1520002.275,7437089.141
136,D100297,4232.354,999,95.733287,D100302,1525950.946,7437079.2
137,D100305,4233.1909,999,16.942087,D100304,1526152.82,7437079.018
139,D110173,4231.1162,999,80.116108,D110219,1522239.843,7437074.49
141,D100202,4231.021,999,86.113087,D100214,1525575.526,7437057.271
142,D029002,4661.2354,999,251.120546,D029001,1540610.204,7437423.425
143,D136067,4228.2773,999,0,8Outfall,1518719.332,7437840.894
144,D136068,4227.7749,999,0,8Outfall,1518719.356,7437834.841
145,D136078,4228.6089,999,67.580302,D136080,1518905.075,7437782.027
146,D136081,4229.5713,999,122.847504,D136069,1518834.009,7437778.246
147,D136079,4228.6265,999,73.819232,D136081,1518907.781,7437775.621
148,D100133,4233.8682,999,49.161092,D100134,1526232.986,7437056.905
149,D100198,4231.2715,999,75.023413,D100202,1525650.529,7437055.538
150,D100321,4234.3896,999,6.184968,D100318,1526671.311,7437050.682
151,D091109,4236.4097,999,96.650725,D091180,1527489.436,7437045.807
152,D091196,4237.751,999,266.854968,D091109,1527756.291,7437045.634
153,D100010,4231.0278,999,89.661648,D100011,1524707.907,7438347.869
154,D123230,4230.0957,999,349.897216,D123202,1521807.038,7437106.214
155,D100304,4232.8979,999,184.931916,D100297,1526135.878,7437079.033
156,D100312,4234.5581,999,211.078189,D100309,1526557.067,7437077.752
157,D091206,4240.4531,999,129.788247,D091123,1528452.548,7437067.53
158,D123060,4227.9893,999,316.387566,D123055,1521168.301,7437929.765
159,D123070,4229.8911,999,277.774164,D123063,1521736.378,7437926.279
160,D123048,4227.957,999,245.329927,D123047,1520592.446,7437924.825
161,D123038,4227.7383,999,33.823733,D123159,1520033.604,7437924.695
162,D123149,4227.1738,999,157.205295,D123024,1519394.758,7437924.306
163,D100310,4233.2788,999,80.652793,D100133,1526313.569,7437053.554
164,D100318,4234.418,999,293.624672,D100142,1526665.126,7437050.692
165,D100320,4234.3735,999,9.560076,D100321,1526680.871,7437050.667
